max:[(1,1), (2,2), (4,3), (3,4), (7,5), (6,7), (8,6), (5,8)]=11.0 true
min:[(1,1), (2,2), (4,3), (3,4), (7,5), (6,7), (8,6), (5,8)]=11.0 true
max:[(1,1), (2,2), (4,3), (3,4), (5,7), (7,6), (6,8), (8,5)]=12.0 true
max:[(1,1), (2,2), (4,3), (7,4), (6,5), (5,7), (8,6), (3,8)]=18.0 true
max:[(1,1), (2,2), (4,3), (7,4), (8,6), (5,7), (6,5), (3,8)]=20.0 true
max:[(1,1), (2,2), (4,3), (8,4), (5,6), (7,5), (6,7), (3,8)]=21.0 true
min:[(1,1), (2,2), (4,3), (8,4), (6,7), (7,5), (3,8), (5,6)]=10.5 true
min:[(1,1), (2,2), (4,3), (3,5), (7,6), (5,8), (8,7), (6,4)]=9.5 true
min:[(1,1), (2,2), (4,3), (7,5), (3,7), (6,6), (5,8), (8,4)]=7.5 true
max:[(1,1), (2,2), (5,3), (4,6), (6,4), (8,5), (7,7), (3,8)]=21.5 true
max:[(1,1), (2,2), (6,3), (8,4), (7,8), (4,7), (5,5), (3,6)]=22.0 true
max:[(1,1), (2,2), (6,3), (5,5), (4,6), (7,4), (8,7), (3,8)]=24.0 true
min:[(1,1), (2,2), (5,4), (8,5), (6,8), (7,6), (3,3), (4,7)]=7.0 true
min:[(1,1), (2,2), (6,5), (3,3), (8,7), (7,8), (4,4), (5,6)]=6.0 true
min:[(1,1), (2,2), (7,5), (3,7), (6,6), (5,8), (8,4), (4,3)]=5.5 true
max:[(1,1), (3,2), (4,3), (7,4), (5,6), (8,5), (6,8), (2,7)]=24.5 true
max:[(1,1), (3,2), (4,3), (8,4), (5,6), (7,5), (6,7), (2,8)]=25.0 true
max:[(1,1), (3,2), (6,3), (5,5), (7,4), (8,7), (4,8), (2,6)]=26.5 true
max:[(1,1), (3,2), (6,3), (5,5), (4,6), (7,4), (8,7), (2,8)]=28.0 true
max:[(1,1), (4,2), (8,3), (6,6), (5,5), (3,4), (7,7), (2,8)]=29.0 true
max:[(1,1), (5,2), (6,4), (4,5), (3,6), (8,3), (7,7), (2,8)]=30.0 true
max:[(1,1), (6,2), (8,3), (7,8), (3,7), (5,4), (4,5), (2,6)]=31.0 true
max:[(1,1), (7,2), (3,5), (5,4), (4,6), (6,3), (8,7), (2,8)]=31.5 true
min:[(1,1), (5,4), (7,5), (8,6), (3,3), (6,7), (2,2), (4,8)]=4.5 true
min:[(2,1), (1,2), (3,3), (7,8), (6,6), (5,5), (8,7), (4,4)]=4.0 true
min:[(2,1), (3,2), (5,5), (6,7), (1,4), (7,8), (4,3), (8,6)]=3.5 true
max:[(2,1), (6,2), (5,4), (4,5), (7,3), (8,7), (3,8), (1,6)]=32.5 true
duration: 10165.253938
solutions: 453404
